source_url,launch_destination,expected_status,indexable_destination,launch_tier,reason
/baytown-multi-family/,/projects/baytown-multi-family/,301,yes,1,case study moves under /projects/ (Carrollton slug fixes city typo)
/steel-piers-n-stemmons/,/projects/steel-piers-n-stemmons/,301,yes,1,case study moves under /projects/ (Carrollton slug fixes city typo)
/commercial-foundation-stabilization-creekside-erosion-repair/,/projects/commercial-foundation-stabilization-creekside-erosion-repair/,301,yes,1,case study moves under /projects/ (Carrollton slug fixes city typo)
/diplomat-drive-polyurethane-injection-industrial-foundation-lift-void-fill/,/projects/diplomat-drive-polyurethane-injection-industrial-foundation-lift-void-fill/,301,yes,1,case study moves under /projects/ (Carrollton slug fixes city typo)
/multi-family-foundation-repair-in-carrolton-tx/,/projects/multifamily-foundation-repair-carrollton-tx/,301,yes,1,case study moves under /projects/ (Carrollton slug fixes city typo)
/restaurant-foundation-repair-foam-injection/,/projects/restaurant-foundation-repair-foam-injection/,301,yes,1,case study moves under /projects/ (Carrollton slug fixes city typo)
/tilt-wall-foundation-drainage-restoration/,/projects/tilt-wall-foundation-drainage-restoration/,301,yes,1,case study moves under /projects/ (Carrollton slug fixes city typo)
/lewisville-tx-multi-family-pier-stabilization-foundation-lifting-and-drainage-repair/,/projects/lewisville-tx-multi-family-pier-stabilization-foundation-lifting-and-drainage-repair/,301,yes,1,case study moves under /projects/ (Carrollton slug fixes city typo)
/multi-family-foundation-repair-in-austin-tx/,/projects/multi-family-foundation-repair-in-austin-tx/,301,yes,1,case study moves under /projects/ (Carrollton slug fixes city typo)
/,/,200,yes,1,homepage
/about-us/,/about/,301,yes,1,rename
/contact-us/,/contact/,301,yes,1,rename
/services/,/,301,yes,1,global services hub dissolved by three-way fork
/our-work-portfolio/,/projects/,301,yes,1,portfolio hub rename
/grading/,/new-construction/earthwork-grading/,301,yes,1,service moves under new-construction; destination REQUIRED at launch
/services/foundation-repair-fort-worth/,/residential/foundation-repair/,301,yes,1,geo-keyed hub to clean hub
/services/foundation-repair-fort-worth/steel-piers/,/residential/foundation-repair/steel-piers/,301,yes,1,pier page to clean path
